#IDXCOL=1,DATACOL=3,SEP=' '
timeStep numberPedsInformed-PID12 numberPedsAll-PID12 percentageInformed-PID12
1 0 0 0.0
2 0 0 0.0
3 0 4 0.0
4 0 10 0.0
5 0 16 0.0
6 0 22 0.0
7 0 31 0.0
8 0 35 0.0
9 0 40 0.0
10 0 44 0.0
11 0 53 0.0
12 0 60 0.0
13 0 65 0.0
14 0 72 0.0
15 0 81 0.0
16 0 84 0.0
17 0 91 0.0
18 0 96 0.0
19 0 103 0.0
20 0 111 0.0
21 0 115 0.0
22 0 120 0.0
23 0 127 0.0
24 0 133 0.0
25 0 136 0.0
26 0 139 0.0
27 0 142 0.0
28 0 151 0.0
29 0 154 0.0
30 0 161 0.0
31 0 170 0.0
32 0 177 0.0
33 0 187 0.0
34 0 198 0.0
35 0 201 0.0
36 0 210 0.0
37 0 215 0.0
38 0 220 0.0
39 0 226 0.0
40 0 233 0.0
41 0 240 0.0
42 0 246 0.0
43 0 248 0.0
44 0 256 0.0
45 0 266 0.0
46 0 272 0.0
47 0 279 0.0
48 0 292 0.0
49 0 297 0.0
50 0 303 0.0
51 0 309 0.0
52 0 312 0.0
53 0 321 0.0
54 0 326 0.0
55 0 336 0.0
56 0 340 0.0
57 0 348 0.0
58 0 358 0.0
59 0 361 0.0
60 0 371 0.0
61 0 380 0.0
62 0 384 0.0
63 0 390 0.0
64 0 399 0.0
65 0 404 0.0
66 0 417 0.0
67 0 422 0.0
68 0 428 0.0
69 0 431 0.0
70 0 435 0.0
71 0 442 0.0
72 0 449 0.0
73 0 452 0.0
74 0 461 0.0
75 0 470 0.0
76 0 478 0.0
77 0 481 0.0
78 0 488 0.0
79 0 493 0.0
80 0 503 0.0
81 0 504 0.0
82 0 507 0.0
83 0 511 0.0
84 0 513 0.0
85 0 519 0.0
86 0 529 0.0
87 0 540 0.0
88 0 542 0.0
89 0 551 0.0
90 0 560 0.0
91 0 569 0.0
92 0 576 0.0
93 0 583 0.0
94 0 587 0.0
95 0 593 0.0
96 0 600 0.0
97 0 606 0.0
98 0 610 0.0
99 0 616 0.0
100 0 623 0.0
